cart_id,user_id,nombre,apellido,email,email_valido,product_id,producto_titulo,categoria,marca,cantidad,precio_unitario,descuento_pct,ingreso_bruto,ingreso_neto,descuento_importe,total_sin_descuento,total_con_descuento,fecha_proceso
4,87,Hunter,Gordon,hunter.gordon@x.dummyjson.com,true,187,Golden Shoes Woman,womens-shoes,Fashion Diva,5,49.99,1.64,249.95,245.85,4.1,249.95,245.85,2025-10-30
4,87,Hunter,Gordon,hunter.gordon@x.dummyjson.com,true,40,Strawberry,groceries,,5,3.99,4.6,19.95,19.03,0.92,19.95,19.03,2025-10-30
4,87,Hunter,Gordon,hunter.gordon@x.dummyjson.com,true,156,Green and Black Glasses,sunglasses,Fashion Shades,5,34.99,4.34,174.95,167.36,7.59,174.95,167.36,2025-10-30
4,87,Hunter,Gordon,hunter.gordon@x.dummyjson.com,true,62,Ice Cube Tray,kitchen-accessories,,2,5.99,8.25,11.98,10.99,0.99,11.98,10.99,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,2,29.99,14.68,59.98,51.17,8.81,59.98,51.17,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,138,Baseball Ball,sports-accessories,,5,8.99,18.49,44.95,36.64,8.31,44.95,36.64,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,157,Party Glasses,sunglasses,Fashion Fun,2,19.99,19.17,39.98,32.32,7.66,39.98,32.32,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,8,Dior J'adore,fragrances,Dior,3,89.99,10.79,269.97,240.84,29.13,269.97,240.84,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,80,Huawei Matebook X Pro,laptops,Huawei,5,1399.99,9.99,6999.95,6300.65,699.3,6999.95,6300.65,2025-10-30
5,134,Nora,Russell,nora.russell@x.dummyjson.com,true,28,Ice Cream,groceries,,3,5.49,10.0,16.47,14.82,1.65,16.47,14.82,2025-10-30
6,150,Stella,Morris,stella.morris@x.dummyjson.com,true,172,Blue Women's Handbag,womens-bags,Fashionista,5,49.99,8.08,249.95,229.75,20.2,249.95,229.75,2025-10-30
6,150,Stella,Morris,stella.morris@x.dummyjson.com,true,112,TV Studio Camera Pedestal,mobile-accessories,ProVision,3,499.99,15.69,1499.97,1264.62,235.35,1499.97,1264.62,2025-10-30
6,150,Stella,Morris,stella.morris@x.dummyjson.com,true,97,Rolex Datejust,mens-watches,Rolex,3,10999.99,10.58,32999.97,29508.57,3491.4,32999.97,29508.57,2025-10-30
6,150,Stella,Morris,stella.morris@x.dummyjson.com,true,128,Realme C35,smartphones,Realme,3,149.99,3.97,449.97,432.11,17.86,449.97,432.11,2025-10-30
7,86,Nora,Mills,nora.mills@x.dummyjson.com,true,167,300 Touring,vehicle,Chrysler,5,28999.99,11.78,144999.95,127918.96,17080.99,144999.95,127918.96,2025-10-30
7,86,Nora,Mills,nora.mills@x.dummyjson.com,true,111,Selfie Stick Monopod,mobile-accessories,SnapTech,4,12.99,10.98,51.96,46.25,5.71,51.96,46.25,2025-10-30
7,86,Nora,Mills,nora.mills@x.dummyjson.com,true,129,Realme X,smartphones,Realme,2,299.99,10.13,599.98,539.2,60.78,599.98,539.2,2025-10-30
8,23,Chloe,Morales,chloe.morales@x.dummyjson.com,true,117,Sportbike Motorcycle,motorcycle,SpeedMaster,2,7499.99,19.83,14999.98,12025.48,2974.5,14999.98,12025.48,2025-10-30
8,23,Chloe,Morales,chloe.morales@x.dummyjson.com,true,18,Cat Food,groceries,,4,8.99,1.15,35.96,35.55,0.41,35.96,35.55,2025-10-30
8,23,Chloe,Morales,chloe.morales@x.dummyjson.com,true,105,Apple MagSafe Battery Pack,mobile-accessories,Apple,5,99.99,7.14,499.95,464.25,35.7,499.95,464.25,2025-10-30
8,23,Chloe,Morales,chloe.morales@x.dummyjson.com,true,6,Calvin Klein CK One,fragrances,Calvin Klein,3,49.99,5.67,149.97,141.47,8.5,149.97,141.47,2025-10-30
9,194,Brayden,Hill,brayden.hill@x.dummyjson.com,true,178,Corset Leather With Skirt,womens-dresses,,2,89.99,12.59,179.98,157.32,22.66,179.98,157.32,2025-10-30
9,194,Brayden,Hill,brayden.hill@x.dummyjson.com,true,191,Rolex Cellini Moonphase,womens-watches,Rolex,4,15999.99,3.26,63999.96,61913.56,2086.4,63999.96,61913.56,2025-10-30
9,194,Brayden,Hill,brayden.hill@x.dummyjson.com,true,47,Table Lamp,home-decoration,,2,49.99,13.74,99.98,86.24,13.74,99.98,86.24,2025-10-30
9,194,Brayden,Hill,brayden.hill@x.dummyjson.com,true,134,Vivo S1,smartphones,Vivo,5,249.99,5.64,1249.95,1179.45,70.5,1249.95,1179.45,2025-10-30
10,160,Claire,Foster,claire.foster@x.dummyjson.com,true,190,IWC Ingenieur Automatic Steel,womens-watches,IWC,5,4999.99,12.34,24999.95,21914.96,3084.99,24999.95,21914.96,2025-10-30
10,160,Claire,Foster,claire.foster@x.dummyjson.com,true,94,Longines Master Collection,mens-watches,Longines,3,1499.99,16.44,4499.97,3760.17,739.8,4499.97,3760.17,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,88,Nike Air Jordan 1 Red And Black,mens-shoes,Nike,1,149.99,17.18,149.99,124.22,25.77,149.99,124.22,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,32,Milk,groceries,,3,3.49,9.36,10.47,9.49,0.98,10.47,9.49,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,74,Spoon,kitchen-accessories,,3,4.99,2.78,14.97,14.55,0.42,14.97,14.55,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,145,Cricket Wicket,sports-accessories,,3,29.99,17.87,89.97,73.89,16.08,89.97,73.89,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,26,Green Chili Pepper,groceries,,3,0.99,18.69,2.97,2.41,0.56,2.97,2.41,2025-10-30
11,172,Ariana,Ross,ariana.ross@x.dummyjson.com,true,127,Oppo K1,smartphones,Oppo,1,299.99,15.93,299.99,252.2,47.79,299.99,252.2,2025-10-30
12,202,Caleb,Nelson,caleb.nelson@x.dummyjson.com,true,63,Kitchen Sieve,kitchen-accessories,,4,7.99,18.8,31.96,25.95,6.01,31.96,25.95,2025-10-30
12,202,Caleb,Nelson,caleb.nelson@x.dummyjson.com,true,181,Marni Red & Black Suit,womens-dresses,,5,179.99,14.21,899.95,772.07,127.88,899.95,772.07,2025-10-30
13,41,Evan,Reed,evan.reed@x.dummyjson.com,true,85,Man Plaid Shirt,mens-shirts,Classic Wear,2,34.99,3.7,69.98,67.39,2.59,69.98,67.39,2025-10-30
13,41,Evan,Reed,evan.reed@x.dummyjson.com,true,109,Monopod,mobile-accessories,TechGear,3,19.99,12.95,59.97,52.2,7.77,59.97,52.2,2025-10-30
13,41,Evan,Reed,evan.reed@x.dummyjson.com,true,160,Samsung Galaxy Tab S8 Plus Grey,tablets,Samsung,1,599.99,4.31,599.99,574.13,25.86,599.99,574.13,2025-10-30
13,41,Evan,Reed,evan.reed@x.dummyjson.com,true,163,Girl Summer Dress,tops,,3,19.99,9.44,59.97,54.31,5.66,59.97,54.31,2025-10-30
13,41,Evan,Reed,evan.reed@x.dummyjson.com,true,31,Lemon,groceries,,4,0.79,12.32,3.16,2.77,0.39,3.16,2.77,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,92,Sports Sneakers Off White Red,mens-shoes,Off White,3,109.99,17.73,329.97,271.47,58.5,329.97,271.47,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,54,Citrus Squeezer Yellow,kitchen-accessories,,5,8.99,6.3,44.95,42.12,2.83,44.95,42.12,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,76,Wooden Rolling Pin,kitchen-accessories,,1,11.99,8.45,11.99,10.98,1.01,11.99,10.98,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,44,Family Tree Photo Frame,home-decoration,,5,29.99,10.68,149.95,133.94,16.01,149.95,133.94,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,67,Mug Tree Stand,kitchen-accessories,,3,15.99,16.65,47.97,39.98,7.99,47.97,39.98,2025-10-30
14,94,Ruby,Andrews,ruby.andrews@x.dummyjson.com,true,16,Apple,groceries,,1,1.99,11.74,1.99,1.76,0.23,1.99,1.76,2025-10-30
15,11,Liam,Garcia,liam.garcia@x.dummyjson.com,true,11,Annibale Colombo Bed,furniture,Annibale Colombo,5,1899.99,8.09,9499.95,8731.4,768.55,9499.95,8731.4,2025-10-30
15,11,Liam,Garcia,liam.garcia@x.dummyjson.com,true,133,Samsung Galaxy S10,smartphones,Samsung,3,699.99,1.12,2099.97,2076.45,23.52,2099.97,2076.45,2025-10-30
15,11,Liam,Garcia,liam.garcia@x.dummyjson.com,true,111,Selfie Stick Monopod,mobile-accessories,SnapTech,3,12.99,10.98,38.97,34.69,4.28,38.97,34.69,2025-10-30
15,11,Liam,Garcia,liam.garcia@x.dummyjson.com,true,162,Blue Frock,tops,,3,29.99,3.86,89.97,86.5,3.47,89.97,86.5,2025-10-30
15,11,Liam,Garcia,liam.garcia@x.dummyjson.com,true,30,Kiwi,groceries,,5,2.49,4.34,12.45,11.91,0.54,12.45,11.91,2025-10-30
16,200,Adrian,Flores,adrian.flores@x.dummyjson.com,true,19,Chicken Meat,groceries,,2,9.99,13.37,19.98,17.31,2.67,19.98,17.31,2025-10-30
16,200,Adrian,Flores,adrian.flores@x.dummyjson.com,true,152,Tennis Racket,sports-accessories,,3,49.99,9.13,149.97,136.28,13.69,149.97,136.28,2025-10-30
16,200,Adrian,Flores,adrian.flores@x.dummyjson.com,true,35,Potatoes,groceries,,1,2.29,1.69,2.29,2.25,0.04,2.29,2.25,2025-10-30
17,141,Owen,Sullivan,owen.sullivan@x.dummyjson.com,true,1,Essence Mascara Lash Princess,beauty,Essence,2,9.99,0.63,19.98,19.85,0.13,19.98,19.85,2025-10-30
17,141,Owen,Sullivan,owen.sullivan@x.dummyjson.com,true,60,Grater Black,kitchen-accessories,,3,10.99,16.62,32.97,27.49,5.48,32.97,27.49,2025-10-30
17,141,Owen,Sullivan,owen.sullivan@x.dummyjson.com,true,74,Spoon,kitchen-accessories,,4,4.99,2.78,19.96,19.41,0.55,19.96,19.41,2025-10-30
17,141,Owen,Sullivan,owen.sullivan@x.dummyjson.com,true,44,Family Tree Photo Frame,home-decoration,,4,29.99,10.68,119.96,107.15,12.81,119.96,107.15,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,127,Oppo K1,smartphones,Oppo,4,299.99,15.93,1199.96,1008.81,191.15,1199.96,1008.81,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,24,Fish Steak,groceries,,3,14.99,7.66,44.97,41.53,3.44,44.97,41.53,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,20,Cooking Oil,groceries,,5,4.99,12.62,24.95,21.8,3.15,24.95,21.8,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,154,Black Sun Glasses,sunglasses,Fashion Shades,3,29.99,1.11,89.97,88.97,1.0,89.97,88.97,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,44,Family Tree Photo Frame,home-decoration,,2,29.99,10.68,59.98,53.57,6.41,59.98,53.57,2025-10-30
18,189,Tristan,Scott,tristan.scott@x.dummyjson.com,true,5,Red Nail Polish,beauty,Nail Couture,5,8.99,3.76,44.95,43.26,1.69,44.95,43.26,2025-10-30
19,59,Ethan,Fletcher,ethan.fletcher@x.dummyjson.com,true,187,Golden Shoes Woman,womens-shoes,Fashion Diva,3,49.99,1.64,149.97,147.51,2.46,149.97,147.51,2025-10-30
19,59,Ethan,Fletcher,ethan.fletcher@x.dummyjson.com,true,153,Volleyball,sports-accessories,,5,11.99,16.05,59.95,50.33,9.62,59.95,50.33,2025-10-30
19,59,Ethan,Fletcher,ethan.fletcher@x.dummyjson.com,true,34,Nescafe Coffee,groceries,,3,7.99,8.31,23.97,21.98,1.99,23.97,21.98,2025-10-30
19,59,Ethan,Fletcher,ethan.fletcher@x.dummyjson.com,true,130,Realme XT,smartphones,Realme,2,349.99,17.86,699.98,574.96,125.02,699.98,574.96,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,107,Beats Flex Wireless Earphones,mobile-accessories,Beats,1,49.99,8.79,49.99,45.6,4.39,49.99,45.6,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,193,Watch Gold for Women,womens-watches,Fashion Gold,3,799.99,19.53,2399.97,1931.26,468.71,2399.97,1931.26,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,100,Apple Airpods,mobile-accessories,Apple,3,129.99,12.84,389.97,339.9,50.07,389.97,339.9,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,90,Puma Future Rider Trainers,mens-shoes,Puma,5,89.99,14.7,449.95,383.81,66.14,449.95,383.81,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,118,Attitude Super Leaves Hand Soap,skin-care,Attitude,5,8.99,7.23,44.95,41.7,3.25,44.95,41.7,2025-10-30
20,90,Scarlett,Bowman,scarlett.bowman@x.dummyjson.com,true,166,Tartan Dress,tops,,5,39.99,2.82,199.95,194.31,5.64,199.95,194.31,2025-10-30
21,42,Avery,Carter,avery.carter@x.dummyjson.com,true,77,Yellow Peeler,kitchen-accessories,,2,5.99,13.16,11.98,10.4,1.58,11.98,10.4,2025-10-30
21,42,Avery,Carter,avery.carter@x.dummyjson.com,true,91,Sports Sneakers Off White & Red,mens-shoes,Off White,2,119.99,1.96,239.98,235.28,4.7,239.98,235.28,2025-10-30
22,140,Hannah,Howard,hannah.howard@x.dummyjson.com,true,73,Spice Rack,kitchen-accessories,,5,19.99,8.74,99.95,91.21,8.74,99.95,91.21,2025-10-30
22,140,Hannah,Howard,hannah.howard@x.dummyjson.com,true,2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,2,19.99,0.7,39.98,39.7,0.28,39.98,39.7,2025-10-30
22,140,Hannah,Howard,hannah.howard@x.dummyjson.com,true,69,Plate,kitchen-accessories,,2,3.99,16.0,7.98,6.7,1.28,7.98,6.7,2025-10-30
22,140,Hannah,Howard,hannah.howard@x.dummyjson.com,true,155,Classic Sun Glasses,sunglasses,Fashion Shades,3,24.99,9.27,74.97,68.02,6.95,74.97,68.02,2025-10-30
23,147,Henry,Turner,henry.turner@x.dummyjson.com,true,82,New DELL XPS 13 9300 Laptop,laptops,Dell,5,1499.99,3.9,7499.95,7207.45,292.5,7499.95,7207.45,2025-10-30
23,147,Henry,Turner,henry.turner@x.dummyjson.com,true,172,Blue Women's Handbag,womens-bags,Fashionista,4,49.99,8.08,199.96,183.8,16.16,199.96,183.8,2025-10-30
23,147,Henry,Turner,henry.turner@x.dummyjson.com,true,41,Tissue Paper Box,groceries,,2,2.49,2.74,4.98,4.84,0.14,4.98,4.84,2025-10-30
23,147,Henry,Turner,henry.turner@x.dummyjson.com,true,37,Red Onions,groceries,,4,1.99,8.95,7.96,7.25,0.71,7.96,7.25,2025-10-30
23,147,Henry,Turner,henry.turner@x.dummyjson.com,true,138,Baseball Ball,sports-accessories,,5,8.99,18.49,44.95,36.64,8.31,44.95,36.64,2025-10-30
24,6,Olivia,Wilson,olivia.wilson@x.dummyjson.com,true,108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,5,29.99,14.68,149.95,127.94,22.01,149.95,127.94,2025-10-30
24,6,Olivia,Wilson,olivia.wilson@x.dummyjson.com,true,134,Vivo S1,smartphones,Vivo,4,249.99,5.64,999.96,943.56,56.4,999.96,943.56,2025-10-30
24,6,Olivia,Wilson,olivia.wilson@x.dummyjson.com,true,174,Prada Women Bag,womens-bags,Prada,1,599.99,12.86,599.99,522.83,77.16,599.99,522.83,2025-10-30
25,118,Benjamin,Wilson,benjamin.wilson@x.dummyjson.com,true,4,Red Lipstick,beauty,Chic Cosmetics,1,12.99,14.69,12.99,11.08,1.91,12.99,11.08,2025-10-30
25,118,Benjamin,Wilson,benjamin.wilson@x.dummyjson.com,true,126,Oppo F19 Pro+,smartphones,Oppo,1,399.99,14.38,399.99,342.47,57.52,399.99,342.47,2025-10-30
26,66,Aria,Ferguson,aria.ferguson@x.dummyjson.com,true,37,Red Onions,groceries,,5,1.99,8.95,9.95,9.06,0.89,9.95,9.06,2025-10-30
26,66,Aria,Ferguson,aria.ferguson@x.dummyjson.com,true,128,Realme C35,smartphones,Realme,3,149.99,3.97,449.97,432.11,17.86,449.97,432.11,2025-10-30
27,75,Ryan,Graham,ryan.graham@x.dummyjson.com,true,33,Mulberry,groceries,,1,4.99,2.75,4.99,4.85,0.14,4.99,4.85,2025-10-30
27,75,Ryan,Graham,ryan.graham@x.dummyjson.com,true,110,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,2,14.99,19.87,29.98,24.02,5.96,29.98,24.02,2025-10-30
27,75,Ryan,Graham,ryan.graham@x.dummyjson.com,true,16,Apple,groceries,,3,1.99,11.74,5.97,5.27,0.7,5.97,5.27,2025-10-30
27,75,Ryan,Graham,ryan.graham@x.dummyjson.com,true,83,Blue & Black Check Shirt,mens-shirts,Fashion Trends,5,29.99,8.76,149.95,136.81,13.14,149.95,136.81,2025-10-30
28,147,Henry,Turner,henry.turner@x.dummyjson.com,true,1,Essence Mascara Lash Princess,beauty,Essence,5,9.99,0.63,49.95,49.64,0.31,49.95,49.64,2025-10-30
28,147,Henry,Turner,henry.turner@x.dummyjson.com,true,141,Basketball Rim,sports-accessories,,4,39.99,14.7,159.96,136.45,23.51,159.96,136.45,2025-10-30
29,170,Penelope,King,penelope.king@x.dummyjson.com,true,80,Huawei Matebook X Pro,laptops,Huawei,2,1399.99,9.99,2799.98,2520.26,279.72,2799.98,2520.26,2025-10-30
29,170,Penelope,King,penelope.king@x.dummyjson.com,true,107,Beats Flex Wireless Earphones,mobile-accessories,Beats,4,49.99,8.79,199.96,182.38,17.58,199.96,182.38,2025-10-30
29,170,Penelope,King,penelope.king@x.dummyjson.com,true,25,Green Bell Pepper,groceries,,2,1.29,1.2,2.58,2.55,0.03,2.58,2.55,2025-10-30
29,170,Penelope,King,penelope.king@x.dummyjson.com,true,121,iPhone 5s,smartphones,Apple,4,199.99,8.38,799.96,732.92,67.04,799.96,732.92,2025-10-30
29,170,Penelope,King,penelope.king@x.dummyjson.com,true,153,Volleyball,sports-accessories,,5,11.99,16.05,59.95,50.33,9.62,59.95,50.33,2025-10-30
30,177,Xavier,Wright,xavier.wright@x.dummyjson.com,true,181,Marni Red & Black Suit,womens-dresses,,1,179.99,14.21,179.99,154.41,25.58,179.99,154.41,2025-10-30
30,177,Xavier,Wright,xavier.wright@x.dummyjson.com,true,171,Pacifica Touring,vehicle,Chrysler,4,31999.99,7.4,127999.96,118527.96,9472.0,127999.96,118527.96,2025-10-30
30,177,Xavier,Wright,xavier.wright@x.dummyjson.com,true,35,Potatoes,groceries,,4,2.29,1.69,9.16,9.01,0.15,9.16,9.01,2025-10-30
30,177,Xavier,Wright,xavier.wright@x.dummyjson.com,true,46,Plant Pot,home-decoration,,4,14.99,17.65,59.96,49.38,10.58,59.96,49.38,2025-10-30
31,143,Grayson,Coleman,grayson.coleman@x.dummyjson.com,true,41,Tissue Paper Box,groceries,,4,2.49,2.74,9.96,9.69,0.27,9.96,9.69,2025-10-30
31,143,Grayson,Coleman,grayson.coleman@x.dummyjson.com,true,10,Gucci Bloom Eau de,fragrances,Gucci,3,79.99,0.19,239.97,239.51,0.46,239.97,239.51,2025-10-30
31,143,Grayson,Coleman,grayson.coleman@x.dummyjson.com,true,124,iPhone X,smartphones,Apple,3,899.99,8.03,2699.97,2483.16,216.81,2699.97,2483.16,2025-10-30
31,143,Grayson,Coleman,grayson.coleman@x.dummyjson.com,true,160,Samsung Galaxy Tab S8 Plus Grey,tablets,Samsung,3,599.99,4.31,1799.97,1722.39,77.58,1799.97,1722.39,2025-10-30
32,164,Addison,Ward,addison.ward@x.dummyjson.com,true,134,Vivo S1,smartphones,Vivo,2,249.99,5.64,499.98,471.78,28.2,499.98,471.78,2025-10-30
32,164,Addison,Ward,addison.ward@x.dummyjson.com,true,97,Rolex Datejust,mens-watches,Rolex,5,10999.99,10.58,54999.95,49180.96,5818.99,54999.95,49180.96,2025-10-30
32,164,Addison,Ward,addison.ward@x.dummyjson.com,true,190,IWC Ingenieur Automatic Steel,womens-watches,IWC,2,4999.99,12.34,9999.98,8765.98,1234.0,9999.98,8765.98,2025-10-30
32,164,Addison,Ward,addison.ward@x.dummyjson.com,true,20,Cooking Oil,groceries,,4,4.99,12.62,19.96,17.44,2.52,19.96,17.44,2025-10-30
33,181,Brandon,Collins,brandon.collins@x.dummyjson.com,true,105,Apple MagSafe Battery Pack,mobile-accessories,Apple,2,99.99,7.14,199.98,185.7,14.28,199.98,185.7,2025-10-30
33,181,Brandon,Collins,brandon.collins@x.dummyjson.com,true,49,Black Aluminium Cup,kitchen-accessories,,5,5.99,17.01,29.95,24.86,5.09,29.95,24.86,2025-10-30
34,203,Nova,Cooper,nova.cooper@x.dummyjson.com,true,89,Nike Baseball Cleats,mens-shoes,Nike,5,79.99,6.13,399.95,375.43,24.52,399.95,375.43,2025-10-30
34,203,Nova,Cooper,nova.cooper@x.dummyjson.com,true,93,Brown Leather Belt Watch,mens-watches,Fashion Timepieces,4,89.99,8.72,359.96,328.57,31.39,359.96,328.57,2025-10-30
34,203,Nova,Cooper,nova.cooper@x.dummyjson.com,true,55,Egg Slicer,kitchen-accessories,,3,6.99,16.04,20.97,17.61,3.36,20.97,17.61,2025-10-30
34,203,Nova,Cooper,nova.cooper@x.dummyjson.com,true,57,Fine Mesh Strainer,kitchen-accessories,,5,9.99,10.02,49.95,44.95,5.0,49.95,44.95,2025-10-30
35,153,Christian,Perez,christian.perez@x.dummyjson.com,true,104,Apple iPhone Charger,mobile-accessories,Apple,5,19.99,11.73,99.95,88.23,11.72,99.95,88.23,2025-10-30
35,153,Christian,Perez,christian.perez@x.dummyjson.com,true,54,Citrus Squeezer Yellow,kitchen-accessories,,2,8.99,6.3,17.98,16.85,1.13,17.98,16.85,2025-10-30
35,153,Christian,Perez,christian.perez@x.dummyjson.com,true,152,Tennis Racket,sports-accessories,,1,49.99,9.13,49.99,45.43,4.56,49.99,45.43,2025-10-30
35,153,Christian,Perez,christian.perez@x.dummyjson.com,true,56,Electric Stove,kitchen-accessories,,5,49.99,10.71,249.95,223.18,26.77,249.95,223.18,2025-10-30
36,176,Aaliyah,Martinez,aaliyah.martinez@x.dummyjson.com,true,26,Green Chili Pepper,groceries,,1,0.99,18.69,0.99,0.8,0.19,0.99,0.8,2025-10-30
36,176,Aaliyah,Martinez,aaliyah.martinez@x.dummyjson.com,true,165,Short Frock,tops,,5,24.99,3.23,124.95,120.91,4.04,124.95,120.91,2025-10-30
36,176,Aaliyah,Martinez,aaliyah.martinez@x.dummyjson.com,true,106,Apple Watch Series 4 Gold,mobile-accessories,Apple,5,349.99,8.2,1749.95,1606.45,143.5,1749.95,1606.45,2025-10-30
37,33,Carter,Baker,carter.baker@x.dummyjson.com,true,171,Pacifica Touring,vehicle,Chrysler,5,31999.99,7.4,159999.95,148159.95,11840.0,159999.95,148159.95,2025-10-30
37,33,Carter,Baker,carter.baker@x.dummyjson.com,true,71,Silver Pot With Glass Cap,kitchen-accessories,,4,39.99,17.64,159.96,131.74,28.22,159.96,131.74,2025-10-30
37,33,Carter,Baker,carter.baker@x.dummyjson.com,true,68,Pan,kitchen-accessories,,4,24.99,5.16,99.96,94.8,5.16,99.96,94.8,2025-10-30
37,33,Carter,Baker,carter.baker@x.dummyjson.com,true,182,Green Crystal Earring,womens-jewellery,,1,29.99,0.23,29.99,29.92,0.07,29.99,29.92,2025-10-30
38,15,William,Gonzalez,william.gonzalez@x.dummyjson.com,true,44,Family Tree Photo Frame,home-decoration,,5,29.99,10.68,149.95,133.94,16.01,149.95,133.94,2025-10-30
38,15,William,Gonzalez,william.gonzalez@x.dummyjson.com,true,68,Pan,kitchen-accessories,,3,24.99,5.16,74.97,71.1,3.87,74.97,71.1,2025-10-30
38,15,William,Gonzalez,william.gonzalez@x.dummyjson.com,true,149,Iron Golf,sports-accessories,,4,49.99,12.89,199.96,174.19,25.77,199.96,174.19,2025-10-30
38,15,William,Gonzalez,william.gonzalez@x.dummyjson.com,true,139,Baseball Glove,sports-accessories,,3,24.99,12.13,74.97,65.88,9.09,74.97,65.88,2025-10-30
